date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.856333333333334,4.506269193346442
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.8,4.51834835132721
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,8.952666666666667,4.547525284990519
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.466666666666667,4.500700796332529
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,2,16,3,9,9,9.816,4.819462598663185
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,11.018666666666666,5.240433086606547
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,10.707333333333333,5.226227196151237
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,2,16,3,9,9,9.544333333333332,4.8461527305328955
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.389666666666667,4.754229077385976
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,16,4,9,9,9.190333333333333,4.6947616358903845
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.389,4.714561276443771
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,17,3,9,9,9.468333333333334,4.847421622644845
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,10.464666666666666,5.285583918042905
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.757333333333333,4.763193140305444
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,8.777333333333333,4.6533469067651145
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.255333333333333,4.324315528553128
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.834666666666666,4.127752940402468
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,7,7.8453333333333335,4.173713556355506
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.754666666666667,4.073656397845158
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,15,3,8,8,8.546666666666667,4.520099481426954
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,7,7.962666666666666,4.236262684182686
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,6,6.761,3.788050788500433
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,0,11,2,6,6,6.445333333333333,3.635668336125513
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.133,3.4285900031650427
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,0,10,2,6,6,6.078333333333333,3.3466297274122945
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,0,10,2,6,5,5.911,3.3758274645421062
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.444333333333334,3.497948890092801
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,0,10,2,6,6,5.927,3.383709132864695
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.254333333333333,3.104651484869607
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,4,4.871,2.9237889539572497
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,4,4.868333333333333,2.9585889043580478
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,4,4.934,3.031507987821695
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,4.9976666666666665,2.985179780459257
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,1,10,1,5,5,5.587666666666666,3.305342592244601
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.503333333333333,3.2169507010251954
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,4.991666666666666,3.031500269973792
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.112,3.0824162216116138
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.189333333333333,3.0894445743771275
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,0,10,1,5,5,5.782666666666667,3.37686747842995
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,0,11,2,6,6,6.273333333333333,3.6952005436658224
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.5,4.153602950751411
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,7,7.887,4.1892816838939115
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,2,14,2,7,7,7.79,4.183985569416044
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.333,4.435688910647065
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,1,15,3,9,9,9.26,4.712869300721366
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,10.764,5.29064907699285
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,4,21,5,12,11,12.117333333333333,5.810463554467476
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,3,25,9,17,15,15.678,7.14688804092778
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,5,28,8,17,16,16.868666666666666,7.6399961650965365
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,5,29,10,19,16,17.330666666666666,8.048452361625888
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,4,31,11,21,18,19.375333333333334,8.981129018579551
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,5,35,12,23,20,21.88,9.967583336622983
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,7,42,13,27,25,26.312333333333335,11.59584418759712
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,9,48,16,31,28,30.045,12.965042966108431
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,12,61,20,40,37,38.99733333333333,16.594570984238768
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,13,67,21,43,40,42.58266666666667,18.14003454167825
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,15,72,27,48,41,43.751666666666665,18.62037154931216
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,14,76,25,50,47,49.048,20.417867806782823
