date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,9,8.932666666666666,3.920619420589378
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.850666666666666,3.5984277746962574
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.580666666666668,4.146149588195227
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.389,4.346490115649846
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,3,17,7,12,10,10.658333333333333,4.465972704008972
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.005666666666666,4.2592270300904955
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.174333333333333,4.398680561916738
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.805666666666667,4.3326079582004695
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.208666666666666,3.7201798524982452
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.524,4.234863479448091
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.011,4.324863830116468
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.082333333333333,4.3124339899715
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.257666666666667,4.057843834815661
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,8.765,3.994132283433519
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.418666666666667,3.8705355233224927
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,6.962,3.4333392792152173
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,8.039,3.695406744911415
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,1,13,5,9,8,8.307666666666666,3.8401289152298106
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.038,3.7276249448198353
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.302333333333333,3.5485854517622055
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,6.935333333333333,3.4212648596635833
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.639,3.2114560794209868
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.432666666666667,2.867904202327337
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.258666666666667,3.1491370103874945
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,1,11,4,7,6,6.431333333333333,3.220674225952095
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,10,2,6,6,6.141333333333334,3.1564768341021656
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.735333333333333,2.947119507816631
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.517,2.8951404593605603
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.371666666666667,2.8538124156976785
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,0,8,1,4,4,4.569333333333334,2.6160034493296305
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.255333333333334,2.8746407442829764
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.573333333333333,2.90725063550452
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.675666666666666,2.9791664997501064
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.354,2.8556497646816172
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.477333333333333,2.828100470807196
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.588333333333333,2.9067186929724693
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,0,8,2,5,5,4.951,2.651215189429221
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,1,11,4,7,6,6.219666666666667,3.1480231742355493
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,7,6.993666666666667,3.307154715611778
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.689666666666667,3.621472754353639
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.738333333333333,3.576421976446118
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.561666666666667,3.878729869947579
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.045666666666667,4.0409187359187255
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.532333333333334,3.886041901829737
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,3,18,5,11,11,11.361666666666666,4.805263857736608
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,5,21,9,15,13,13.512333333333334,5.463863024937025
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,6,24,9,16,15,15.419666666666666,5.999239689147131
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,5,25,9,17,16,16.499666666666666,6.449330547459352
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,6,28,10,19,18,18.332666666666668,7.002071780930079
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,8,31,14,23,20,20.462333333333333,7.63042084879107
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,8,31,12,21,19,19.943666666666665,7.510257066791521
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,12,41,15,27,26,26.756666666666668,9.550943883472668
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,14,50,22,36,32,33.168,11.444886972469593
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,17,56,28,43,36,37.745,12.686802591144163
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,17,60,28,44,39,40.80866666666667,13.477732548433531
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,20,68,28,48,45,45.968666666666664,15.114998267055583
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,22,76,36,57,50,51.895,16.907313824306467
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,21,73,36,56,48,50.145,16.471685214470362
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,32,99,46,73,66,67.888,21.330442687899236
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,42,123,57,89,80,82.608,25.59001013819568
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,45,136,68,104,92,95.033,29.001533418888084
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,52,151,64,105,98,101.17633333333333,31.608779553638456
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,52,164,75,118,109,113.42933333333333,35.15446322992123
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,60,184,87,136,122,126.762,39.074351660041025
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,58,176,86,134,117.5,120.43566666666666,36.93086095285525
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,82,230,118,175,154,159.98033333333333,46.76039768314691
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,97,275,140,212,185,190.12233333333333,56.73964366833909
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,113,312,147,232,209,214.37033333333332,64.074662496290685
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,113,321,160,244,216,223.27333333333334,66.99154606841897
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,128,360,179,270,238,246.21533333333332,73.49458562547976
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,140,390,209,308,256,263.855,79.09224890138577
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,127,355,177,268,238,246.086,72.57233300994373
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,157,454,231,350,304,313.665,93.15084434185518
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,184,522,264,400,348,358.00033333333334,108.41829723627878
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,207,574,295,436,380,391.74266666666665,115.22673957633859
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,196,563,291,440,380,391.69233333333335,116.89585630649802
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,222,604,328,480,404.5,416.1116666666667,120.8917262141813
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,213,621,326,492,418,432.009,130.9800475006827
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,210,570,290,433,379,390.492,114.09767465840025
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,243,700,369,549,466,484.1413333333333,142.73031681929155
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,293,786,385,587,525,543.9426666666667,159.99877056324362
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,301,825,410,619,553,573.3516666666667,168.5131514886314
