"Exports & Imports by NAICS Commodities by country 2024"
"Current date: 04/03/2025 3:28 AM (Eastern Daylight Time)"
"Commodity: All Commodities"
"District: All Districts Total"
"Time: 2024"
"Country","Total Exports Value ($US)","Domestic Exports Value ($US)","Foreign Exports Value ($US)","Customs Import Value (Gen) ($US)","CIF Import Value (Gen) ($US)","Customs Import Value (Cons) ($US)","CIF Import Value (Cons) ($US)","Balance ($US)",
"World Total","2,064,516,772,198","1,720,779,120,443","343,737,651,755","3,267,388,705,988","3,359,310,385,337","3,253,453,443,858","3,345,388,083,560","-1,202,871,933,790"
"Afghanistan","11,446,788","7,569,056","3,877,732","22,588,359","23,867,205","22,782,707","24,063,855","-11,141,571"
"Albania","141,727,893","128,814,298","12,913,595","128,280,409","133,146,714","128,586,758","133,496,365","13,447,484"
"Algeria","1,014,504,109","949,863,214","64,640,895","2,461,611,142","2,540,861,627","2,716,916,602","2,804,924,310","-1,447,107,033"
"Andorra","4,911,141","3,636,702","1,274,439","3,369,249","3,447,530","3,341,893","3,420,165","1,541,892"
"Angola","682,352,869","646,011,311","36,341,558","1,869,239,166","1,912,507,392","1,662,167,957","1,702,491,127","-1,186,886,297"
"Anguilla","72,488,329","67,447,637","5,040,692","1,190,598","1,297,305","1,190,598","1,297,305","71,297,731"
"Antigua and Barbuda","573,765,998","547,839,881","25,926,117","23,751,550","24,035,915","22,238,694","22,522,564","550,014,448"
"Argentina","9,170,997,286","7,636,649,309","1,534,347,977","7,092,161,169","7,410,751,389","7,736,670,570","8,108,557,598","2,078,836,117"
"Armenia","160,783,630","136,050,848","24,732,782","121,583,116","129,040,936","128,309,374","135,981,714","39,200,514"
"Aruba","725,539,495","634,574,934","90,964,561","10,704,668","10,942,625","10,578,763","10,815,842","714,834,827"
"Australia","34,593,348,537","30,254,710,883","4,338,637,654","16,685,509,840","17,061,338,146","16,697,333,670","17,073,584,244","17,907,838,697"
"Austria","4,474,205,091","4,003,576,110","470,628,981","17,572,012,829","17,964,936,391","17,361,650,107","17,765,244,097","-13,097,807,738"
"Azerbaijan","255,074,490","235,646,685","19,427,805","157,776,472","162,759,544","140,441,488","144,683,047","97,298,018"
"Bahamas","5,639,742,401","5,294,861,716","344,880,685","1,792,373,019","1,839,129,647","1,790,329,700","1,837,097,085","3,847,369,382"
"Bahrain","1,646,230,202","1,514,763,239","131,466,963","1,204,340,922","1,272,281,645","1,138,403,196","1,204,122,309","441,889,280"
