"VAR","Variable","UNIT","Unit","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1960","1960",1.6,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1961","1961",1.4,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1962","1962",1.7,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1963","1963",1.5,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1964","1964",1.5,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1965","1965",1.5,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1966","1966",1.4,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1967","1967",1.4,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1968","1968",1.7,"B","Break"
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1969","1969",1.3,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1970","1970",1.6,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1971","1971",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1972","1972",1.8,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1973","1973",2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1974","1974",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1975","1975",1.7,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1976","1976",2.3,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1977","1977",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1978","1978",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1979","1979",2,"B","Break"
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1980","1980",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1981","1981",2.1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1982","1982",2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1983","1983",1.8,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1984","1984",2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1985","1985",2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1986","1986",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1987","1987",2.1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1988","1988",2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1989","1989",1.8,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1990","1990",2.1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1991","1991",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1992","1992",1.7,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1993","1993",1.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1994","1994",1.8,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1995","1995",1.6,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1996","1996",1.7,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1997","1997",1.7,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1998","1998",1.6,"B","Break"
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1999","1999",1.5,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2000","2000",1.6,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2001","2001",1.6,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2002","2002",1.4,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2003","2003",1.3,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2004","2004",0.8,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2006","2006",1.2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2007","2007",1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2008","2008",1.2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2009","2009",1.2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2010","2010",1.1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2011","2011",0.8,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1960","1960",1.2,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1961","1961",1.1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1962","1962",1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1963","1963",0.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1964","1964",1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1965","1965",1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1966","1966",1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1967","1967",1,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1968","1968",0.9,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1969","1969",1.1,"B","Break"
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1970","1970",1.5,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1971","1971",1.4,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1972","1972",1.3,,
"CICDHOCD","- Assault","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","1973","1973",1.4,,
