"Permanent & long-term migration by country of residence, age and sex (Monthly)","","","",""
"","Arrivals","","Departures",""
" ","Australia","TOTAL ALL COUNTRIES OF RESIDENCE","Australia","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL AGES","TOTAL ALL AGES","TOTAL ALL AGES","TOTAL ALL AGES"
" ","TOTAL","TOTAL","TOTAL","TOTAL"
"1978M04",988,2600,3320,6864
"1978M05",912,3056,3320,7544
"1978M06",840,2236,3136,6640
"1978M07",804,2672,3048,6432
"1978M08",952,2824,3248,6364
"1978M09",908,2932,2816,5548
"1978M10",1044,3296,2816,4928
"1978M11",1164,3528,2324,4652
"1978M12",2508,6208,3264,6676
"1979M01",1620,4988,6056,10152
"1979M02",1168,3752,4140,7376
"1979M03",1028,2716,4272,7832
"1979M04",940,2460,4264,8160
"1979M05",948,2640,3892,8260
"1979M06",936,2372,3956,7288
"1979M07",738,2507,3676,6636
"1979M08",855,3003,3806,6399
"1979M09",913,2957,3569,5654
"1979M10",779,3310,2980,4764
"1979M11",1081,3837,2553,4178
"1979M12",2031,6221,3226,5855
"1980M01",1595,4880,4017,6814
"1980M02",1220,4077,3404,5772
"1980M03",1256,3343,3567,6244
"1980M04",1052,2879,3207,6090
"1980M05",1209,3406,3119,6848
"1980M06",1102,2954,3156,5854
"1980M07",901,2963,2846,5091
"1980M08",1052,3362,3220,5218
"1980M09",872,3245,3255,5010
"1980M10",1014,3654,3283,4713
"1980M11",1143,4418,3358,4908
"1980M12",2109,6075,3818,6287
"1981M01",1512,5055,5274,7660
"1981M02",883,3381,2957,4552
"1981M03",1216,3573,4990,7559
"1981M04",1024,2880,3608,5881
"1981M05",1145,3418,3949,6360
"1981M06",823,2554,4236,6263
"1981M07",859,3218,1923,3664
"1981M08",909,3493,2603,4333
"1981M09",921,3218,2180,3478
"1981M10",1110,4149,2340,3590
"1981M11",1196,4015,2054,3525
"1981M12",2314,6082,2983,4903
"1982M01",1419,4939,3501,5418
"1982M02",1269,4153,2841,4602
"1982M03",1131,3173,2716,4757
"1982M04",1169,3241,2580,4277
"1982M05",1153,3523,2533,4822
"1982M06",875,2691,2088,3869
"1982M07",952,3223,2241,3709
"1982M08",998,3523,2046,3843
"1982M09",1065,3294,1857,2981
"1982M10",1272,3999,1734,2943
"1982M11",1413,4009,1303,2533
"1982M12",2399,5907,1760,3463
"1983M01",1840,5181,2174,3975
"1983M02",1503,3985,1453,2943
"1983M03",1439,3278,1327,3316
"1983M04",1324,2946,1149,2836
"1983M05",1256,3170,1089,3206
"1983M06",1053,2508,998,2668
"1983M07",1176,2952,987,2548
"1983M08",1097,2999,922,2531
"1983M09",1105,2930,1004,2234
"1983M10",1164,3378,953,2004
"1983M11",1350,3583,933,2382
"1983M12",2137,5246,1496,3228
"1984M01",1601,4742,1596,3399
"1984M02",1257,3587,1511,3298
"1984M03",1251,2664,1459,3813
"1984M04",1079,2290,1417,3414
"1984M05",1099,2914,1544,3914
"1984M06",911,2348,1463,3355
"1984M07",885,2493,1406,3250
"1984M08",806,2664,1516,3338
"1984M09",884,2770,1475,2737
"1984M10",851,2958,1510,2645
"1984M11",971,2979,1489,3070
"1984M12",1777,4644,2131,3961
"1985M01",1406,4356,2606,4648
"1985M02",889,3165,2503,4624
"1985M03",979,2662,2904,5371
"1985M04",782,2149,2633,5139
"1985M05",832,2290,2576,4947
"1985M06",688,2142,2619,4806
"1985M07",727,2343,2413,4318
"1985M08",873,2785,2426,4302
"1985M09",797,2858,2503,3958
"1985M10",644,3040,2183,3452
"1985M11",853,3169,2517,4532
"1985M12",1401,4436,2839,4640
"1986M01",1264,4331,3732,5965
"1986M02",898,3531,3160,5109
