Australian Bureau of Statistics

"2021 Census - cultural diversity"
"4-digit level ANCP Ancestry Multi Response by GCCSA (UR)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"GCCSA (UR)","Greater Sydney","Greater Melbourne","Greater Brisbane","Greater Adelaide","Greater Perth","Greater Hobart","Greater Darwin","Australian Capital Territory","Total",
"4-digit level ANCP Ancestry Multi Response",
"Oceanian, nfd",2507,1465,1815,76,400,10,46,120,6442,
"Maori",28378,21688,38109,2754,24208,494,1008,1388,118035,
"Melanesian and Papuan, nfd",134,113,458,27,99,4,17,28,883,
"New Caledonian",121,22,60,0,8,0,0,5,212,
"Ni-Vanuatu",165,116,209,67,46,0,28,21,649,
"Papua New Guinean",1560,1224,7844,426,952,61,459,415,12935,
"Solomon Islander",245,147,756,57,66,5,38,57,1377,
"Melanesian and Papuan, nec",15,7,34,4,14,0,6,6,82,
"Micronesian, nfd",19,14,32,0,3,0,0,7,85,
"I-Kiribati",133,162,370,33,32,4,34,17,772,
"Nauruan",27,229,195,0,0,3,0,7,471,
"Micronesian, nec",18,29,86,5,11,0,0,9,151,
"Polynesian, nfd",1277,686,994,96,386,23,17,56,3535,
"Cook Islander",6834,6593,5834,219,1974,31,69,138,21692,
"Fijian",21213,7087,7158,884,1271,140,369,708,38824,
"Niuean",1673,1029,1832,57,411,12,15,17,5061,
"Samoan",30501,21701,29503,500,2827,86,201,1053,86366,
"Tongan",20009,6005,6920,334,1033,69,147,1070,35590,
"Hawaiian",182,109,95,17,59,9,4,21,493,
"Tahitian",317,321,297,17,94,4,9,9,1075,
"Tokelauan",998,207,574,13,120,0,4,10,1936,
"Tuvaluan",157,259,307,5,25,4,4,8,774,
"Pitcairn",125,31,103,21,19,5,0,20,325,
"Polynesian, nec",236,101,132,21,44,3,7,6,553,
"Total",108394,63880,95095,5468,32085,951,2369,4963,313207,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2025, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
