year,births,cum_births
1800,38175538,38175538
1801,38343987,76519525
1802,38512435,115031960
1803,38680883,153712843
1804,38849332,192562175
1805,39017780,231579955
1806,39186228,270766183
1807,39354677,310120860
1808,39523125,349643985
1809,39691573,389335558
1810,39860022,429195580
1811,40087034,469282614
1812,40314047,509596661
1813,40541059,550137720
1814,40768072,590905792
1815,40995085,631900877
1816,41222097,673122974
1817,41449110,714572084
1818,41676122,756248206
1819,41903135,798151341
1820,42130148,840281489
1821,42349794,882631283
1822,42569441,925200724
1823,42789088,967989812
1824,43008735,1010998547
1825,43228382,1054226929
1826,43448028,1097674957
1827,43667675,1141342632
1828,43887322,1185229954
1829,44106969,1229336923
1830,44326616,1273663539
1831,44559083,1318222622
1832,44791550,1363014172
1833,45024017,1408038189
1834,45256484,1453294673
1835,45488951,1498783624
1836,45721419,1544505043
1837,45953886,1590458929
1838,46186353,1636645282
1839,46418820,1683064102
1840,46651287,1729715389
1841,46823e3,1776538389
1842,46994713,1823533102
1843,47166426,1870699528
1844,47338138,1918037666
1845,47509851,1965547517
1846,47681564,2013229081
1847,47853277,2061082358
1848,48024990,2109107348
1849,48196702,2157304050
1850,48368415,2205672465
1851,48497841,2254170306
1852,48627267,2302797573
1853,48756694,2351554267
1854,48886120,2400440387
1855,49015546,2449455933
1856,49144972,2498600905
1857,49274398,2547875303
1858,49403824,2597279127
1859,49533250,2646812377
1860,49662676,2696475053
1861,49865051,2746340104
1862,50067425,2796407529
1863,50269799,2846677328
1864,50472173,2897149501
1865,50674547,2947824048
1866,50876922,2998700970
1867,51079296,3049780266
1868,51281670,3101061936
1869,51484044,3152545980
1870,51686418,3204232398
1871,51943471,3256175869
1872,52200524,3308376393
1873,52457577,3360833970
1874,52714630,3413548600
1875,52971682,3466520282
1876,53228735,3519749017
1877,53485788,3573234805
1878,53742841,3626977646
1879,53999894,3680977540
1880,54256947,3735234487
1881,54723e3,3789957487
1882,55189053,3845146540
1883,55655105,3900801645
1884,56121158,3956922803
1885,56587211,4013510014
1886,57053264,4070563278
1887,57519317,4128082595
1888,57985370,4186067965
1889,58451423,4244519388
1890,58917476,4303436864
1891,59347088,4362783952
1892,59776701,4422560653
1893,60206313,4482766966
1894,60635926,4543402892
1895,61065538,4604468430
1896,61495151,4665963581
1897,61924763,4727888344
1898,62354375,4790242719
1899,62783988,4853026707
1900,63213600,4916240307
1901,63583562,4979823869
1902,63953525,5043777394
1903,64323487,5108100881
1904,64693449,5172794330
1905,65063412,5237857742
1906,65433374,5303291116
1907,65803336,5369094452
1908,66173298,5435267750
1909,66543261,5501811011
1910,66913223,5568724234
1911,67281677,5636005911
1912,67650130,5703656041
1913,68018583,5771674624
1914,68387037,5840061661
1915,68755490,5908817151
1916,69123944,5977941095
1917,69492397,6047433492
1918,69860851,6117294343
1919,70229304,6187523647
1920,70597758,6258121405
1921,70922293,6329043698
1922,71246827,6400290525
1923,71571362,6471861887
1924,71895897,6543757784
1925,72220432,6615978216
1926,72544967,6688523183
1927,72869502,6761392685
1928,73194037,6834586722
1929,73518571,6908105293
1930,73843106,6981948399
1931,74346577,7056294976
1932,74850048,7131145024
1933,75353519,7206498543
1934,75856989,7282355532
1935,76360460,7358715992
1936,76863931,7435579923
1937,77367402,7512947325
1938,77870873,7590818198
1939,78374344,7669192542
1940,78877814,7748070356
1941,80498647,7828569003
1942,82119479,7910688482
1943,83740311,7994428793
1944,85361143,8079789936
1945,86981975,8166771911
1946,88602807,8255374718
1947,90223639,8345598357
1948,91844471,8437442828
1949,93465303,8530908131
1950,95086136,8625994267
1951,96270705,8722264972
1952,96684456,8818949428
1953,97223857,8916173285
1954,97939702,9014112987
1955,98865356,9112978343
1956,100014875,9212993218
1957,101386855,9314380073
1958,102964795,9417344868
1959,104707419,9522052287
1960,106564265,9628616552
1961,108473770,9737090322
1962,110371552,9847461874
1963,112202787,9959664661
1964,113930593,10073595254
1965,115520802,10189116056
1966,116951462,10306067518
1967,118232167,10424299685
1968,119356360,10543656045
1969,120289698,10663945743
1970,120981236,10784926979
1971,121394758,10906321737
1972,121547354,11027869091
1973,121485771,11149354862
1974,121286008,11270640870
1975,121076380,11391717250
1976,120998155,11512715405
1977,121157895,11633873300
1978,121646078,11755519378
1979,122522692,11878042070
1980,123845482,12001887552
1981,125622248,12127509800
1982,127735493,12255245293
1983,130040650,12385285943
1984,132402680,12517688623
1985,134624067,12652312690
1986,136498712,12788811402
1987,137901035,12926712437
1988,138731065,13065443502
1989,138918033,13204361535
1990,138462390,13342823925
1991,137451724,13480275649
1992,136102155,13616377804
1993,134629137,13751006941
1994,133186347,13884193288
1995,131917522,14016110810
1996,130917625,14147028435
1997,130187573,14277216008
1998,129722231,14406938239
1999,129554748,14536492987
2000,129694316,14666187303
2001,130118808,14796306111
2002,130758928,14927065039
2003,131540335,15058605374
2004,132410865,15191016239
2005,133328056,15324344295
2006,134265209,15458609504
2007,135214385,15593823889
2008,136158105,15729981994
2009,137059865,15867041859
2010,137888487,16004930346
2011,138617162,16143547508
2012,139242929,16282790437
2013,139758980,16422549417
2014,140147798,16562697215
2015,140393876,16703091091
