PICT*,HIES year,Consumption kg/p.c./year,Consumption g/p.c./day,Annual production,Gillett and Fong kg/p.c./year
,,,,(t WFE),
ASM,-,-,-,-,16
COK,2015,27  (2.1),71  (6.0),625  (112),35-71
FJI,-,-,-,-,21-62
FSM,2013,71  (1.7),192  (7.3),"10,389  (410)",69 - 142
GUM,-,-,-,-,20 - 27
KIR,2019,63  (1.3),173  (4.9),"11,680  (450)",62 - 207
MHL,2019,54  (2.9),147  (11.2),6111  (543),39 - 66
MNP,-,-,-,-,23
NCL,-,-,-,-,22 - 41
NIE,2015,27  (3.2),74  (8.8),67  (9),49 - 119
NRU,2012,54  (3.2),148  (9.5),1017  (66),47 - 64
PCN,-,-,-,-,153
PLW,2014,79  (6.0),215  (21.7),2011  (201),33 - 135
PNG,-,-,-,-,13 - 25
PYF,-,-,-,-,47 - 70
SLB,2012,52  (1.0),142  (7.5),"52,241  (3129)",32 - 46
TKL,2015,83  (8.2),226  (20.9),152  (20),119
TON,2021,19  (0.5),53  (1.9),2917  (114),20 - 35
TUV,2015,43  (2.6),117  (6.8),873  (58),72 - 146
VUT,2019,26  (0.6),70  (2.6),"11,937  (465)",13 - 37
WLF,2019,17  (1.1),46  (2.9),289  (18),27 - 75
WSM,2018,22  (0.7),61  (3.7),6531  (421),46 - 130
