"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 18, 2018",Texas,Houston,"7800 block of Locksley Rd",0,2,N/A
"February 18, 2018",Texas,Houston,"Northborough Dr and Rushcreek Dr",0,1,N/A
"February 18, 2018",Texas,"Kemah (Clear Lake Shores)","401 Fm 2094 Rd",0,1,N/A
"February 18, 2018",Texas,Houston,"9898 Forum Park Dr",1,0,N/A
"February 18, 2018",Illinois,Chicago,"1500 N Clybourn Ave",0,0,N/A
"February 18, 2018",Illinois,Chicago,"4500 S Hermitage Ave",0,1,N/A
"February 18, 2018",Illinois,Chicago,"7700 S Kilbourn Ave",1,0,N/A
"February 18, 2018",Illinois,Chicago,"1500 W 80th St",1,1,N/A
"February 18, 2018",Illinois,Chicago,"8300 S Carpenter St",0,1,N/A
"February 18, 2018",Kentucky,Louisville,"5930 Cooper Chapel Road",1,1,N/A
"February 17, 2018",Massachusetts,Boston,"432 Columbus Ave",0,0,N/A
"February 17, 2018",Massachusetts,Brockton,"185 Perkins Ave",0,1,N/A
"February 17, 2018","South Carolina",Columbia,"2100 block of Steele St",0,1,N/A
"February 17, 2018",Texas,Dallas,"2100 block of Highwood Dr",0,1,N/A
"February 17, 2018",Michigan,Detroit,"19326 Conant St",0,1,N/A
"February 17, 2018","District of Columbia",Washington,"2400 block of Ainger Pl SE",0,0,N/A
"February 17, 2018","District of Columbia",Washington,"200 block of 53rd St NE",0,0,N/A
"February 17, 2018",Louisiana,"New Orleans","800 block of Magazine St",0,1,N/A
"February 17, 2018",Georgia,"Forest Park","500 block of Yancey Dr",1,0,N/A
"February 17, 2018",Illinois,Chicago,"4000 W Armitage Ave",0,1,N/A
"February 17, 2018",Massachusetts,Lowell,"O'Connell St and Fay St",1,1,N/A
"February 17, 2018",Utah,"Salt Lake City (Kearns)","4820 S 5100 W",0,1,N/A
"February 17, 2018",Texas,Austin,"8400 block of Garcreek Cir",0,0,N/A
"February 17, 2018",Oklahoma,"Catoosa (Fair Oaks)","E 5th St and S 273rd E Ave",0,0,N/A
"February 17, 2018",Oklahoma,"Oklahoma City","SW 68th St and S May Ave",0,1,N/A
"February 17, 2018","New Mexico","Los Alamos","1001 Camino Entrada",0,0,N/A
"February 17, 2018",Virginia,Richmond,"6346 Midlothian Turnpike",0,1,N/A
"February 17, 2018",Tennessee,Jackson,"Raintree Cove",1,0,N/A
"February 17, 2018",Tennessee,Nashville,"Oakview Dr",0,0,N/A
"February 17, 2018",Tennessee,Antioch,"3918 Apache Trail",0,1,N/A
"February 17, 2018",Louisiana,"Baton Rouge","10950 Darryl Drive",1,0,N/A
"February 17, 2018",Louisiana,"Baton Rouge","6117 Cadillac St",1,0,N/A
"February 17, 2018",Washington,Spokane,"1300 Block of E Sprague Ave",0,0,N/A
"February 17, 2018",Louisiana,"New Orleans","St Ann St and N Prieur St",2,0,N/A
"February 17, 2018",Virginia,Lynchburg,"2100 block of Link Rd",0,1,N/A
"February 17, 2018",Texas,"San Antonio","7800 block of San Hedrick Farm",0,1,N/A
"February 17, 2018",Pennsylvania,Philadelphia,"3300 block of Reed St",0,1,N/A
"February 17, 2018",Florida,"Casselberry (Fern Park)","200 Maltese Cir",1,0,N/A
"February 17, 2018",Tennessee,Memphis,"3188 N Watkins Ave",0,5,N/A
"February 17, 2018",Indiana,Indianapolis,I-465,0,1,N/A
"February 17, 2018",California,"San Francisco","Alameda St",0,0,N/A
"February 17, 2018",California,Chico,"W 2nd St and Orange St",0,1,N/A
"February 17, 2018",Illinois,Aurora,"Lafayette St and Melrose Ave",0,0,N/A
"February 17, 2018",Florida,"Palm Beach Gardens (Riviera Beach)","300 block of W 15th St",1,0,N/A
"February 17, 2018",Illinois,Chicago,"4000 W Van Buren St",0,3,N/A
"February 17, 2018",Illinois,Chicago,"1200 W 60th St",0,1,N/A
"February 17, 2018",Illinois,Chicago,"3000 W North Ave",0,1,N/A
"February 17, 2018",Illinois,Chicago,"4300 S Archer Ave",0,1,N/A
"February 17, 2018",Wisconsin,"West Bend","Main Street and Vine Street",0,0,N/A
"February 17, 2018",Wisconsin,Milwaukee,"South 5th Place and Hayes Avenue",0,1,N/A
"February 17, 2018",Minnesota,"Saint Paul","1500 block of Magnolia Ave E",0,0,N/A
"February 17, 2018",Illinois,Chicago,"2900 S Loomis St",0,1,N/A
"February 17, 2018",Illinois,Chicago,"3100 W Carroll Ave",0,1,N/A
"February 17, 2018",Illinois,Chicago,"700 E 133rd St",1,0,N/A
"February 17, 2018",Minnesota,Mapleton,N/A,2,0,N/A
"February 17, 2018",Kentucky,Newport,"300 block of Lindsey",1,0,N/A
"February 17, 2018",Alaska,Fairbanks,N/A,0,0,N/A
"February 17, 2018",Kentucky,Corbin,"102 Ellison St",2,0,N/A
"February 17, 2018","Rhode Island",Providence,"Elmhurst Ave",0,0,N/A
"February 17, 2018",Utah,"Salt Lake City (West Valley City)","3980 S 5600 West",0,1,N/A
"February 17, 2018","West Virginia",Inwood,"602 Pilgrim St",1,1,N/A
"February 17, 2018","South Carolina",Columbia,"Johnson Ave",2,0,N/A
"February 17, 2018","South Carolina",Columbia,"Benedict St",1,0,N/A
"February 16, 2018",Minnesota,Minneapolis,"3400 block of Old Creek Pl",1,1,N/A
"February 16, 2018",Massachusetts,Boston,"Glenrose Rd and Adams St",0,0,N/A
"February 16, 2018","South Carolina","Saint Helena Island","2141 Sea Island Pkwy",0,0,N/A
"February 16, 2018",Texas,Austin,"Red River St and E 12th St",0,1,N/A
"February 16, 2018",Massachusetts,Lynn,"547 Essex St",0,0,N/A
"February 16, 2018",Maryland,Laurel,"I-95 and Rte 216",0,0,N/A
"February 16, 2018",Ohio,Akron,"900 block of Mercer Ave",1,0,N/A
"February 16, 2018",Illinois,Zion,"2800 block of Edina Blvd",1,2,N/A
"February 16, 2018",Illinois,Rockford,"1800 block of Belden St",0,0,N/A
"February 16, 2018","North Carolina",Raleigh,"5200 block of Dana Dr",0,1,N/A
"February 16, 2018",Texas,Killeen,"200 block of Elkins Ave",0,1,N/A
"February 16, 2018","North Carolina",Garner,"2101 Spring Dr",0,0,N/A
"February 16, 2018",Delaware,Wilmington,"1300 block of Buckingham Ave",0,3,N/A
"February 16, 2018",Delaware,Georgetown,"Dupont Blvd",0,0,N/A
"February 16, 2018",Massachusetts,Springfield,"70 Fort Pleasent Ave",0,1,N/A
"February 16, 2018",Texas,Spring,"2300 block of Kylie Ct",1,0,N/A
"February 16, 2018","West Virginia",Charleston,"Rebecca St and 7th Ave",0,1,N/A
"February 16, 2018","West Virginia","Charleston (Sissonville)","First Creek Rd",1,0,N/A
"February 16, 2018","West Virginia",Charleston,"6100 Sissonville Dr",0,0,N/A
"February 16, 2018",Florida,Tampa,"N 24th St and E Curtis Ave",0,2,N/A
"February 16, 2018","North Carolina",Wilmington,"1300 block of Buckingham Ave",0,3,N/A
"February 16, 2018",Louisiana,"New Orleans","Pauger and N. Villere",0,1,N/A
"February 16, 2018",Oklahoma,"Oklahoma City","S Pennsylvania Ave and SW 15th St",1,3,N/A
"February 16, 2018",Florida,Vernon,"Hicks Lake Rd",0,0,N/A
"February 16, 2018",Oklahoma,"Oklahoma City","NE 33rd St and N Lincoln Blvd",1,0,N/A
"February 16, 2018",Tennessee,Milan,"4040 Reasons Blvd",1,0,N/A
"February 16, 2018",Florida,Orlando,"3510 Rio Vista Ave",0,1,N/A
"February 16, 2018","North Carolina",Statesville,"1900 block of Cline St",0,0,N/A
"February 16, 2018","North Carolina",Claremont,"3437 E Main St",0,0,N/A
"February 16, 2018",Tennessee,Nashville,"11th Ave North and Jennings Street",0,1,N/A
"February 16, 2018",Ohio,Cincinnati,"Livingston Street and Linn Street",0,1,N/A
"February 16, 2018",Minnesota,Minneapolis,"3500 block of Lynndale Ave N",1,1,N/A
"February 16, 2018",Ohio,Dayton,"8945 Kingsridge Dr",0,1,N/A
"February 16, 2018",Pennsylvania,"Mc Kees Rocks (Mckees Rocks)","Ella St",1,0,N/A
"February 16, 2018",Florida,"West Palm Beach","3505 Shiloh Dr",0,0,N/A
"February 16, 2018",Kentucky,Louisville,"35th Street and Broadway",0,1,N/A
