Australian Bureau of Statistics

"2021 Census - cultural diversity"
"4-digit level ANCP Ancestry Multi Response"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"4-digit level ANCP Ancestry Multi Response",
"Melanesian and Papuan, nfd",1561,
"New Caledonian",367,
"Ni-Vanuatu",2380,
"Papua New Guinean",22668,
"Solomon Islander",2704,
"Melanesian and Papuan, nec",136,
"Micronesian, nfd",148,
"I-Kiribati",1263,
"Nauruan",571,
"Micronesian, nec",210,
"Polynesian, nfd",4787,
"Cook Islander",27494,
"Fijian",48354,
"Niuean",6225,
"Samoan",98022,
"Tongan",43469,
"Hawaiian",671,
"Tahitian",1504,
"Tokelauan",2544,
"Tuvaluan",995,
"Pitcairn",1123,
"Polynesian, nec",868,
"Total",252635,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2025, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
