writing_system,location
Latin,"Rome, Italy"
Chinese,"Nanjing, China"
Perso-Arabic,"Baghdad, Iraq"
Devanagari,"Delhi, India"
Eastern Nagari,"Dhaka, Bangladesh"
Cyrillic,"St Petersburg, Russia"
Kana,"Kyoto, Japan"
Javanese,"Surabaya, Indonesia"
Chosŏn'gŭl/Hangul,"Seoul, Korea"
Telugu,"Amaravati,  India"
Tamil,"Chennai, India"
Gujarati,"Gandhinagar, India"
Kannada,"Bengaluru, India"
Burmese,"Rangoon, Myanmar"
Malayalam,"Thiruvananthapuram, India"
Thai,"Bangkok, Thailand"
Sundanese,"Jakarta, Indonesia"
Gurmukhi,"Chandigarh, India"
Lao,Laos
Odia,"Bhubaneswar, India"
Ge'ez,Ethiopia
Sinhalese,"Kandy, Sri Lanka"
Hebrew,"Jerusalem, Israel"
Armenian,Armenia
Khmer,Cambodia
Batak,"Aceh, Indonesia"
Lontara,"Makassar, Indonesia"
Balinese,"Denpasar, Indonesia"
Tibetan,"Lhasa, Tibet"
Georgian,"Tibilisi, Georgia"
Modern Yi,
Mongolian,Mongolia
Tifinagh,
Tai Le,"Yunnan, China"
New Tai Lue,"Yunnan, China"
Syriac,Syria
Thaana,Maldives
Inuktitut,Northern Canada
Cherokee,
