Errors,Blunders,Moves,Eq Move,Cost Move,Double Errors,Double Blunders,Doubles,Eq Double,Cost Double,Take Errors,Take Blunders,Takes,Eq Take,Cost Take,Eq Wrong Double,Cost Wrong Double,Eq Wrong Take,Cost Wrong Take,Outplay,Resign Errors,Resign Blunders,Eq Resign,Cost Resign,Take Resign Errors,Take Resign Blunders,Eq Take Resign,Cost Take Resign,Jokers,Anti Jokers,Rolls,Luck,Cost luck,Date,Score,Opp Score,Match Length,Result,Eq per Decision,Checker play,Cube play,Elo Level,Level,Opp Elo,Opp Eq per move,Opp mwc,Variation,Rated,Games,Opp Decisions,Double,Roll,Opp Double,Opp Roll
11,7,37,-1.74,-0.1557,4,2,9,-0.345,-0.0257,0,0,1,0,0,-0.032,-0.0024,0,0,0,0,0,0,0,0,0,0,0,7,8,94,-1.622,-0.3476,22/10/2014 19:20,1,8,7,0,-0.0444,-0.047,-0.0345,1236,Casual Player,2262,0,0,0,1,3,45,8,47,10,50
26,13,110,-2.825,-0.2629,7,5,30,-0.892,-0.0486,0,0,2,0,0,-0.033,-0.0019,0,0,0,0,0,0,0,0,0,0,0,11,12,252,2.382,-0.4798,19/10/2014 10:47,4,9,9,0,-0.0262,-0.0257,-0.0279,1588,Intermediate,1780,-0.035,-0.3029,0,1,6,109,18,125,21,128
10,5,73,-1.416,-0.2182,3,2,8,-0.461,-0.0323,0,0,2,0,0,-0.461,-0.0323,0,0,0,0,0,0,0,0,0,0,0,16,14,171,1.428,0.3508,19/10/2014 10:10,7,6,7,1,-0.0226,-0.0194,-0.0461,1659,Advanced,1780,-0.0474,-0.3988,0,1,6,72,13,84,14,85
6,2,26,-0.521,-0.1121,0,0,10,-0.018,-0.0048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,61,1.738,0.4017,18/10/2014 16:12,8,0,7,1,-0.0146,-0.02,-0.0017,1814,Expert,1780,-0.0562,-0.2216,0,1,1,20,4,32,5,31
14,7,75,-1.134,-0.1536,0,0,4,0,0,1,1,3,-0.13,-0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,219,-3.823,-0.5168,18/10/2014 16:04,1,6,5,0,-0.0154,-0.0151,-0.0186,1799,Advanced,1780,-0.014,-0.2081,0,1,5,95,22,114,25,113
7,1,24,-0.505,-0.2025,5,3,8,-0.559,-0.1355,1,1,1,-0.214,-0.0213,0,0,-0.214,-0.0213,0,0,0,0,0,0,0,0,0,6,4,65,1.475,0.6816,18/10/2014 15:19,4,0,3,1,-0.0387,-0.0211,-0.0858,1341,Casual Player,1780,-0.0329,-0.1673,0,1,1,27,7,36,1,35
9,4,49,-1.064,-0.0926,7,5,20,-0.744,-0.0892,0,0,3,0,0,-0.043,-0.0027,0,0,0,0,0,0,0,0,0,0,0,7,9,129,-0.115,-0.7416,18/10/2014 11:00,2,7,7,0,-0.0251,-0.0217,-0.0323,1610,Intermediate,1780,-0.0541,-0.4735,0,1,4,60,12,65,10,64
13,6,77,-1.084,-0.1507,1,1,2,-0.565,-0.074,0,0,4,0,0,-0.565,-0.074,0,0,0,0,0,0,0,0,0,0,0,8,10,174,1.269,0.4782,18/10/2014 10:33,7,2,7,1,-0.0199,-0.0141,-0.0941,1713,Advanced,1780,-0.0175,-0.1909,0,1,5,97,11,86,16,88
14,5,103,-1.159,-0.2431,5,2,21,-0.704,-0.072,0,0,2,0,0,-0.213,-0.0192,0,0,0,0,0,0,0,0,0,0,0,11,9,231,0.022,0.2482,18/10/2014 10:33,5,4,5,1,-0.0148,-0.0113,-0.0306,1810,Expert,1780,-0.0292,-0.5812,0,1,7,112,9,115,20,114
15,6,80,-1.924,-0.2234,6,2,11,-0.617,-0.0849,3,3,4,-1.004,-0.0719,-0.058,-0.0034,-0.758,-0.0556,0,0,0,0,0,0,0,0,0,8,16,181,-1.329,-0.1316,14/10/2014 22:35,4,7,7,0,-0.0373,-0.0241,-0.108,1368,Casual Player,1780,-0.0002,-0.0016,0,1,5,87,16,95,23,97
8,3,49,-0.842,-0.1856,2,2,5,-0.409,-0.0407,1,1,1,-0.503,-0.0631,-0.002,-0.0002,-0.503,-0.0631,0,0,0,0,0,0,0,0,0,3,8,125,-1.226,-0.4164,14/10/2014 22:16,1,3,3,0,-0.0319,-0.0172,-0.1521,1474,Intermediate,1780,-0.0155,-0.2214,0,1,3,63,12,60,8,63
16,7,101,-1.412,-0.2708,0,0,7,-0.004,-0.0008,1,0,3,-0.076,-0.0041,0,0,-0.076,-0.0041,0,0,0,0,0,0,0,0,0,18,19,225,1.431,0.4253,12/10/2014 10:59,7,5,7,1,-0.0134,-0.014,-0.008,1835,Expert,1780,-0.0199,-0.3025,0,1,6,104,24,117,20,116
11,4,51,-0.874,-0.2156,1,1,3,-0.11,-0.011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,222,-0.647,-0.5553,12/10/2014 10:20,2,3,3,0,-0.0179,-0.0171,-0.0276,1751,Advanced,1780,-0.0162,-0.3717,0,1,4,104,28,113,21,112
18,6,85,-1.396,-0.2575,4,2,23,-0.535,-0.0636,1,1,3,-0.414,-0.0259,-0.096,-0.0085,0,0,0,0,0,0,0,0,0,0,0,9,9,203,1.843,-0.1647,12/10/2014 9:41,5,7,7,0,-0.0211,-0.0164,-0.0365,1689,Advanced,1780,-0.0013,-0.0151,0,1,5,92,19,101,15,101
14,5,64,-1.098,-0.121,1,0,8,-0.054,-0.0041,1,1,1,-0.408,-0.0271,-0.009,-0.0012,-0.408,-0.0271,0,0,0,0,0,0,0,0,0,9,7,159,3.875,0.4373,12/10/2014 9:22,7,0,7,1,-0.0214,-0.0171,-0.0513,1684,Advanced,1780,-0.0296,-0.2498,0,1,3,79,15,80,11,80
30,12,103,-2.87,-0.4356,7,2,43,-0.418,-0.0467,0,0,3,0,0,-0.036,-0.0028,0,0,0,0,0,0,0,0,0,0,0,16,17,274,0.091,0.3957,5/10/2014 18:31,5,3,5,1,-0.0221,-0.0279,-0.0091,1670,Advanced,1780,-0.0291,-0.5731,0,1,6,141,17,138,19,136
15,10,62,-2.118,-0.1695,3,3,13,-0.506,-0.0273,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,157,-2.703,-0.243,4/10/2014 18:00,0,7,7,0,-0.0336,-0.0342,-0.0316,1440,Intermediate,1780,-0.0011,-0.0089,0,1,4,86,13,80,14,79
22,15,101,-3.447,-0.508,6,3,40,-0.646,-0.0533,1,1,4,-0.973,-0.082,-0.161,-0.012,0,0,0,0,0,0,0,0,0,0,0,27,22,251,4.238,0.9063,4/10/2014 16:17,7,5,7,1,-0.0349,-0.0341,-0.0368,1414,Intermediate,1780,-0.0203,-0.2943,0,1,9,134,14,123,21,125
26,15,137,-3.391,-0.4359,3,2,17,-0.624,-0.0457,1,1,5,-0.24,-0.0171,-0.063,-0.004,-0.24,-0.0171,0,0,0,0,0,0,0,0,0,19,22,323,-1.635,-0.3826,4/10/2014 15:34,5,7,7,0,-0.0268,-0.0247,-0.0393,1577,Intermediate,1780,-0.0194,-0.3838,0,1,10,179,26,158,22,157
20,12,76,-2.298,-0.3786,2,2,13,-0.274,-0.0295,1,1,2,-0.42,-0.0227,-0.274,-0.0295,-0.42,-0.0227,0,0,0,0,0,0,0,0,0,13,15,203,2.339,0.4856,4/10/2014 14:39,9,4,7,1,-0.0329,-0.0302,-0.0463,1455,Intermediate,1780,-0.0324,-0.3949,0,1,4,88,19,104,21,104
18,8,77,-1.623,-0.318,1,0,12,-0.032,-0.0025,0,0,2,0,0,-0.032,-0.0025,0,0,0,0,0,0,0,0,0,0,0,21,26,202,-1.29,-0.4636,4/10/2014 9:19,2,5,5,0,-0.0182,-0.0211,-0.0023,1746,Advanced,1780,-0.0197,-0.2519,0,1,5,90,14,101,19,101
14,4,57,-1.467,-0.1287,2,1,5,-0.181,-0.0286,0,0,3,0,0,-0.181,-0.0286,0,0,0,0,0,0,0,0,0,0,0,7,8,183,-2.144,-0.4586,28/09/2014 0:05,4,7,7,0,-0.0253,-0.0257,-0.0226,1605,Intermediate,1780,-0.0119,-0.1292,0,1,4,97,14,96,18,96
4,1,22,-0.265,-0.0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.52,0.2601,27/09/2014 23:41,1,0,1,1,-0.012,-0.012,0,1861,Expert,1780,-0.0486,-0.3242,0,1,1,20,5,25,2,25
2,1,18,-0.221,-0.1107,0,0,1,-0.009,-0.0016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,44,-1.173,-0.4912,27/09/2014 19:07,0,2,2,0,-0.0115,-0.0123,-0.0044,1870,Expert,1780,-0.0096,-0.1057,0,1,1,22,3,22,1,21
2,2,20,-0.368,-0.0508,0,0,6,-0.013,-0.001,0,0,1,0,0,-0.013,-0.001,0,0,0,0,0,0,0,0,0,0,0,3,0,45,1.3,0.4556,27/09/2014 18:26,8,0,5,1,-0.0141,-0.0184,-0.0019,1822,Expert,1780,-0.0169,-0.1011,0,1,1,24,3,23,5,22
