Name	Opp. Elo	Player Analyze	Opp. Analyze	Elo Results	Elo Results+Luck	Outplays	Matches	Unlimited Games	Luck	Experience	Decisions	Opp. Decisions
AAVATAR	1600	7.39	14.62	NA	2028	100.0%	1 won, 0 lost	NA	-0.2	5	126	112
ADVANCEDBOTIII	1600	12.04	7.16	NA	1518	0.0%	1 won, 0 lost	NA	-0.6	7	72	65
AHGAMER	1600	22.04	29.78	NA	1610	100.0%	1 won, 0 lost	NA	-0.5	5	69	65
AILE	1579	9.32	8.15	NA	1622	0.0%	0 won, 1 lost	NA	+0.5	7	130	135
AKINC	1600	14.17	9.28	NA	1377	0.0%	0 won, 1 lost	NA	+0.4	5	90	95
ALADINBP	1600	6.97	9.58	NA	1607	100.0%	0 won, 1 lost	NA	+0.5	5	99	92
AMBROSIAAA	1600	18.48	26.02	NA	1576	100.0%	1 won, 0 lost	NA	-0.5	1	19	11
AMY	1600	7.85	30.62	NA	2352	100.0%	0 won, 1 lost	NA	+0.9	7	91	80
ANDYSENIOR70	1488	13.13	10.59	NA	1431	0.0%	1 won, 0 lost	NA	-0.5	5	56	73
ANGUS	1600	10.68	13.83	NA	1975	100.0%	1 won, 0 lost	NA	-0.3	5	85	109
ANHINGA	1600	9.90	18.73	NA	1732	100.0%	1 won, 0 lost	NA	-0.4	7	98	108
ANNETTEC	1329	8.57	17.43	NA	1457	100.0%	1 won, 0 lost	NA	-0.4	5	43	33
ARTDECADE	1600	13.61	10.92	NA	1522	0.0%	1 won, 0 lost	NA	-0.6	5	77	78
ASESSION	1600	6.72	9.94	NA	1698	100.0%	1 won, 0 lost	NA	-0.4	7	111	104
ASHI	1600	10.17	13.00	2030	1783	77.3%	3 won, 1 lost	NA	-0.6	22	433	469
AUCTIONMANAL	1600	6.73	12.44	NA	1749	100.0%	1 won, 0 lost	NA	-0.4	5	47	49
AVIATOR	1600	13.35	21.75	1841	1904	66.7%	1 won, 1 lost	NA	+0.0	3	70	67
AWATTO	1653	14.59	7.40	NA	1449	0.0%	0 won, 1 lost	NA	+0.4	7	84	74
BARRYCROOKS	1600	9.82	15.00	1885	1638	100.0%	2 won, 1 lost	NA	-0.5	17	134	126
BEACHSCENE	1600	11.30	21.93	NA	1872	100.0%	3 won, 0 lost	NA	-1.0	15	185	217
BEBISH	1600	10.57	19.29	NA	2048	100.0%	2 won, 0 lost	NA	-0.5	10	188	221
BGPLAYER	1600	16.09	10.54	NA	1403	0.0%	0 won, 1 lost	NA	+0.4	5	92	93
BGPRMAN	1600	11.76	18.31	NA	1884	100.0%	0 won, 1 lost	NA	+0.7	5	127	135
BIFFO	1600	7.85	7.88	NA	1574	50.0%	1 won, 0 lost	NA	-0.5	5	48	39
BIGROLL	1600	10.51	10.04	NA	1505	50.0%	1 won, 0 lost	NA	-0.5	3	33	35
BINTURONG	1600	32.48	14.65	NA	1507	0.0%	1 won, 0 lost	NA	-0.6	7	51	54
BLACKSNAKE	1600	12.56	20.75	NA	2398	100.0%	1 won, 0 lost	NA	-0.2	3	80	93
BLACKTIGER	1600	16.46	9.42	NA	1621	0.0%	0 won, 1 lost	NA	+0.5	3	34	62
BLUESKY	1600	11.42	25.95	NA	2042	100.0%	1 won, 0 lost	NA	-0.3	3	81	57
BLUNDERBOT	1600	13.07	12.10	1629	1558	58.8%	2 won, 2 lost	NA	-0.3	40	503	568
BLUNDERBOT_II	1600	16.48	18.72	1733	1642	56.0%	2 won, 1 lost	NA	-0.2	25	329	327
BLUNDERBOT_III	1600	15.98	20.36	NA	1759	83.8%	4 won, 0 lost	NA	-1.5	34	625	626
BLUNDERBOT_IV	1600	12.74	16.14	1237	1820	58.1%	1 won, 4 lost	NA	+2.2	43	677	817
BLUNDERBOT_V	1600	11.35	12.41	1600	1558	50.0%	1 won, 1 lost	NA	0.0	10	136	135
BLUNDERBOT_VI	1600	13.40	16.61	1357	1837	86.0%	1 won, 2 lost	NA	+1.1	25	386	426
BLUNDERBOT_VII	1600	11.40	15.46	NA	1777	71.1%	4 won, 0 lost	NA	-1.4	38	575	652
BLUNDERBOT_VIII	1600	17.03	13.72	NA	1607	0.0%	0 won, 1 lost	NA	+0.5	11	200	178
BLUNDERBOT_X	1600	12.53	17.10	1722	1873	68.8%	1 won, 1 lost	NA	+0.2	16	217	288
BLUNDERBOT_XI	1600	12.00	13.84	1370	1611	52.2%	1 won, 2 lost	NA	+0.6	23	326	379
